url_path,views_total,views_unique
/chjch/LAA6656,115,34
/chjch/LAA6656/blob/master/tutorials/1-software_and_data.md,65,25
/chjch/LAA6656/tree/master/tutorials,65,24
/chjch/LAA6656/blob/master/tutorials/3-raster_gis.md,43,14
/chjch/LAA6656/blob/master/tutorials/4-suitability.md,40,18
/chjch/LAA6656/blob/master/visit_apopka.md,24,16
/chjch/LAA6656/tree/master/datasets,22,14
/chjch/LAA6656/blob/master/datasets/lulc/lulc.md,18,9
/chjch/LAA6656/blob/master/datasets/lulc/lulc_ca2015_print.pdf,10,6
/chjch/LAA6656/blob/master/tutorials/2-vector_gis.md,9,8
