time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-22 00:00:00+00:00,2,2,3.0,1.0
2022-01-23 00:00:00+00:00,1,1,,
2022-01-24 00:00:00+00:00,3,2,,
2022-01-25 00:00:00+00:00,2,2,216.0,13.0
2022-01-26 00:00:00+00:00,5,4,9.0,2.0
2022-01-27 00:00:00+00:00,4,3,139.0,18.0
2022-01-28 00:00:00+00:00,1,1,22.0,4.0
2022-01-29 00:00:00+00:00,2,2,,
2022-01-30 00:00:00+00:00,1,1,,
2022-01-31 00:00:00+00:00,2,2,3.0,1.0
2022-02-01 00:00:00+00:00,2,2,60.0,13.0
2022-02-02 00:00:00+00:00,2,2,12.0,4.0
2022-02-03 00:00:00+00:00,1,1,12.0,2.0
