time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-11 00:00:00+00:00,8,3,332.0,15.0
2022-01-12 00:00:00+00:00,3,2,108.0,11.0
2022-01-13 00:00:00+00:00,4,3,185.0,16.0
2022-01-14 00:00:00+00:00,1,1,2.0,1.0
2022-01-15 00:00:00+00:00,1,1,41.0,3.0
2022-01-16 00:00:00+00:00,1,1,34.0,2.0
2022-01-17 00:00:00+00:00,2,2,6.0,2.0
2022-01-18 00:00:00+00:00,5,4,76.0,11.0
2022-01-19 00:00:00+00:00,1,1,11.0,3.0
2022-01-20 00:00:00+00:00,1,1,38.0,9.0
2022-01-21 00:00:00+00:00,1,1,1.0,1.0
2022-01-22 00:00:00+00:00,2,2,3.0,1.0
2022-01-23 00:00:00+00:00,1,1,,
2022-01-24 00:00:00+00:00,2,1,,
