time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-03-11 00:00:00+00:00,1.0,1.0,,
2022-03-12 00:00:00+00:00,1.0,1.0,,
2022-03-13 00:00:00+00:00,4.0,4.0,,
2022-03-14 00:00:00+00:00,2.0,2.0,,
2022-03-15 00:00:00+00:00,6.0,4.0,7.0,2.0
2022-03-16 00:00:00+00:00,4.0,2.0,,
2022-03-17 00:00:00+00:00,13.0,6.0,64.0,8.0
2022-03-18 00:00:00+00:00,3.0,2.0,,
2022-03-19 00:00:00+00:00,5.0,4.0,,
2022-03-20 00:00:00+00:00,3.0,3.0,,
2022-03-21 00:00:00+00:00,2.0,2.0,,
2022-03-22 00:00:00+00:00,6.0,4.0,19.0,2.0
2022-03-23 00:00:00+00:00,101.0,4.0,16.0,3.0
2022-03-24 00:00:00+00:00,,,6.0,4.0
