time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-01-09 00:00:00+00:00,3.0,3.0,1,1
2022-01-10 00:00:00+00:00,3.0,2.0,23,2
2022-01-11 00:00:00+00:00,8.0,3.0,332,15
2022-01-12 00:00:00+00:00,3.0,2.0,108,11
2022-01-13 00:00:00+00:00,4.0,3.0,185,16
2022-01-14 00:00:00+00:00,1.0,1.0,2,1
2022-01-15 00:00:00+00:00,1.0,1.0,41,3
2022-01-16 00:00:00+00:00,1.0,1.0,34,2
2022-01-17 00:00:00+00:00,2.0,2.0,6,2
2022-01-18 00:00:00+00:00,5.0,4.0,76,11
2022-01-19 00:00:00+00:00,1.0,1.0,11,3
2022-01-20 00:00:00+00:00,1.0,1.0,38,9
2022-01-21 00:00:00+00:00,1.0,1.0,1,1
2022-01-22 00:00:00+00:00,,,3,1
