url_path,views_total,views_unique
/chjch/LAA6656,128,40
/chjch/LAA6656/blob/master/tutorials/1-software_and_data.md,76,27
/chjch/LAA6656/tree/master/tutorials,56,23
/chjch/LAA6656/blob/master/visit_apopka.md,53,29
/chjch/LAA6656/tree/master/datasets,48,21
/chjch/LAA6656/blob/master/tutorials/3-raster_gis.md,37,9
/chjch/LAA6656/blob/master/datasets/zoning_flu.md,19,12
/chjch/LAA6656/blob/master/datasets/lulc/lulc.md,18,6
/chjch/LAA6656/blob/master/tutorials/2-vector_gis.md,16,10
/chjch/LAA6656/tree/master/datasets/lulc,15,8
